Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0150275107	-538.700257	-538.700257	-538.700257	-538.700257	0	0	0	0	0	0	3
2	3	0	0.0300550213	-538.700257	-538.700257	-538.700257	-538.700257	0	0	0	0	0	0	3
3	3	0	0.045082532	-538.700257	-538.700257	-538.700257	-538.700257	0	0	0	0	0	0	3
4	3	0	0.0601100426	-246.061119	-465.540473	-538.700257	-246.061119	73.1597844	0	0	0	0	0	3
5	3	0	0.0751375533	-246.061119	-421.644602	-538.700257	-246.061119	117.055655	0	0	0	0	0	3
6	4	0	0.0901650639	-246.061119	-392.380688	-538.700257	-246.061119	146.319569	0	0	0	0	0	3
7	4	0	0.105192575	-129.167016	-354.778735	-538.700257	-129.167016	183.921522	0	0	0	0	0	3
8	5	0	0.120220085	-129.167016	-326.57727	-538.700257	-129.167016	212.122987	0	0	0	0	0	3
9	5	0	0.135247596	-129.167016	-304.642798	-538.700257	-129.167016	234.05746	0	0	0	0	0	3
10	5	0	0.150275107	-51.9502367	-279.373542	-538.700257	-51.9502367	259.326716	0	0	0	0	0	3
11	6	0	0.165302617	-51.9502367	-258.698696	-538.700257	-51.9502367	280.001562	0	0	0	0	0	3
12	6	0	0.180330128	-51.9502367	-241.469657	-538.700257	-51.9502367	297.2306	0	0	0	0	0	3
13	6	0	0.195357639	-42.7247727	-226.181589	-538.700257	-42.7247727	312.518668	0	0	0	0	0	3
14	7	0	0.210385149	-42.7247727	-213.077531	-538.700257	-42.7247727	325.622726	0	0	0	0	0	3
15	7	0	0.22541266	-42.7247727	-201.72068	-538.700257	-42.7247727	336.979577	0	0	0	0	0	3
16	7	0	0.24044017	-42.515026	-191.770327	-538.700257	-42.515026	346.92993	0	0	0	0	0	3
17	8	0	0.255467681	-42.515026	-182.990603	-538.700257	-42.515026	355.709654	0	0	0	0	0	3
18	8	0	0.270495192	-42.515026	-175.186405	-538.700257	-42.515026	363.513852	0	0	0	0	0	3
19	9	0	0.285522702	-42.515026	-168.203701	-538.700257	-42.515026	370.496557	0	0	0	0	0	3
20	9	0	0.300550213	-43.1932815	-161.95318	-538.700257	-42.515026	376.747078	0	0	0	0	0	3
21	10	0	0.315577724	-43.1932815	-156.297946	-538.700257	-42.515026	382.402311	0	0	0	0	0	3
22	10	0	0.330605234	-43.1932815	-151.156825	-538.700257	-42.515026	387.543432	0	0	0	0	0	3
23	11	0	0.345632745	-43.1932815	-146.462758	-538.700257	-42.515026	392.237499	0	0	0	0	0	3
24	11	0	0.360660256	-43.1932815	-142.159863	-538.700257	-42.515026	396.540394	0	0	0	0	0	3
25	11	0	0.375687766	-44.2052489	-138.241679	-538.700257	-42.515026	400.458579	0	0	0	0	0	3
26	12	0	0.390715277	-44.2052489	-134.624893	-538.700257	-42.515026	404.075364	0	0	0	0	0	3
27	12	0	0.405742788	-44.2052489	-131.276017	-538.700257	-42.515026	407.42424	0	0	0	0	0	3
28	13	0	0.420770298	-44.2052489	-128.166347	-538.700257	-42.515026	410.53391	0	0	0	0	0	3
29	13	0	0.435797809	-44.2052489	-125.271137	-538.700257	-42.515026	413.429121	0	0	0	0	0	3
30	13	0	0.45082532	-44.2052489	-122.56894	-538.700257	-42.515026	416.131317	0	0	0	0	0	3
31	14	0	0.46585283	-45.8152071	-120.093013	-538.700257	-42.515026	418.607244	0	0	0	0	0	3
32	14	0	0.480880341	-45.8152071	-117.771832	-538.700257	-42.515026	420.928425	0	0	0	0	0	3
33	15	0	0.495907852	-45.8152071	-115.591328	-538.700257	-42.515026	423.108929	0	0	0	0	0	3
34	15	0	0.510935362	-45.8152071	-113.539089	-538.700257	-42.515026	425.161168	0	0	0	0	0	3
35	16	0	0.525962873	-45.8152071	-99.0424703	-538.700257	-42.515026	439.657787	0	0	0	0	0	3
36	16	0	0.540990384	-45.8152071	-84.5458512	-538.700257	-42.515026	454.154406	0	0	0	0	0	3
37	17	0	0.556017894	-45.8152071	-70.049232	-246.061119	-42.515026	203.546093	0	0	0	0	0	3
38	17	0	0.571045405	-48.1222473	-64.2275005	-246.061119	-42.515026	203.546093	0	0	0	0	0	3
39	17	0	0.586072916	-48.1222473	-58.405769	-246.061119	-42.515026	203.546093	0	0	0	0	0	3
40	18	0	0.601100426	-48.1222473	-52.5840374	-129.167016	-42.515026	86.6519902	0	0	0	0	0	3
41	18	0	0.616127937	-48.1222473	-50.2003678	-129.167016	-42.515026	86.6519902	0	0	0	0	0	3
42	19	0	0.631155448	-48.1222473	-47.8166981	-129.167016	-42.515026	86.6519902	0	0	0	0	0	3
43	19	0	0.646182958	-48.1222473	-45.4330284	-51.9502367	-42.515026	9.4352107	0	0	0	0	0	3
44	20	0	0.661210469	-48.1222473	-45.3204405	-51.9502367	-42.515026	9.4352107	0	0	0	0	0	3
45	20	0	0.67623798	-48.1222473	-45.2078526	-51.9502367	-42.515026	9.4352107	0	0	0	0	0	3
46	20	0	0.69126549	-48.7555302	-45.1138906	-48.7555302	-42.515026	6.24050424	0	0	0	0	0	3
47	21	0	0.706293001	-48.7555302	-45.2912658	-48.7555302	-42.515026	6.24050424	0	0	0	0	0	3
48	21	0	0.721320511	-48.7555302	-45.4686411	-48.7555302	-42.515026	6.24050424	0	0	0	0	0	3
49	22	0	0.736348022	-48.7555302	-45.6460163	-48.7555302	-42.515026	6.24050424	0	0	0	0	0	3
50	22	0	0.751375533	-48.7555302	-45.8295605	-48.7555302	-42.515026	6.24050424	0	0	0	0	0	3
51	22	0	0.766403043	-48.7555302	-46.0131048	-48.7555302	-42.515026	6.24050424	0	0	0	0	0	3
52	23	0	0.781430554	-48.7555302	-46.196649	-48.7555302	-42.515026	6.24050424	0	0	0	0	0	3
53	23	0	0.796458065	-48.7555302	-46.3801932	-48.7555302	-43.1932815	5.56224877	0	0	0	0	0	3
54	24	0	0.811485575	-48.7555302	-46.5437888	-48.7555302	-43.1932815	5.56224877	0	0	0	0	0	3
55	24	0	0.826513086	-48.8006039	-46.70871	-48.8006039	-43.1932815	5.6073224	0	0	0	0	0	3
56	25	0	0.841540597	-48.8006039	-46.8736313	-48.8006039	-43.1932815	5.6073224	0	0	0	0	0	3
57	25	0	0.856568107	-48.8006039	-47.0385525	-48.8006039	-43.1932815	5.6073224	0	0	0	0	0	3
58	25	0	0.871595618	-48.8006039	-47.2034738	-48.8006039	-44.2052489	4.59535496	0	0	0	0	0	3
59	26	0	0.886623129	-48.8006039	-47.3386313	-48.8006039	-44.2052489	4.59535496	0	0	0	0	0	3
60	26	0	0.901650639	-48.8006039	-47.4737888	-48.8006039	-44.2052489	4.59535496	0	0	0	0	0	3
61	27	0	0.91667815	-48.8006039	-47.6089463	-48.8006039	-44.2052489	4.59535496	0	0	0	0	0	3
62	27	0	0.931705661	-48.8006039	-47.7441038	-48.8006039	-44.2052489	4.59535496	0	0	0	0	0	3
63	27	0	0.946733171	-48.8006039	-47.8792613	-48.8006039	-44.2052489	4.59535496	0	0	0	0	0	3
64	28	0	0.961760682	-48.8006039	-48.0144188	-48.8006039	-45.8152071	2.98539675	0	0	0	0	0	3
65	28	0	0.976788193	-48.7345628	-48.1002822	-48.8006039	-45.8152071	2.98539675	0	0	0	0	0	3
66	29	0	0.991815703	-48.7345628	-48.1861456	-48.8006039	-45.8152071	2.98539675	0	0	0	0	0	3
67	29	0	1.00684321	-48.7345628	-48.272009	-48.8006039	-45.8152071	2.98539675	14.8855569	0	0	0	0	3
68	30	0	1.02187072	-48.7345628	-48.3578724	-48.8006039	-45.8152071	2.98539675	14.8855569	0	0	0	0	3
69	30	0	1.03689824	-48.7345628	-48.4437358	-48.8006039	-45.8152071	2.98539675	14.8855569	0	0	0	0	3
70	31	0	1.05192575	-48.7345628	-48.5295992	-48.8006039	-45.8152071	2.98539675	14.8855569	0	0	0	0	3
71	31	0	1.06695326	-48.7345628	-48.6154626	-48.8006039	-48.1222473	0.678356593	14.8855569	0	0	0	0	3
72	31	0	1.08198077	-48.7345628	-48.6334719	-48.8006039	-48.1222473	0.678356593	14.8855569	0	0	0	0	3
73	32	0	1.09700828	-48.7345628	-48.6514812	-48.8006039	-48.1222473	0.678356593	14.8855569	0	0	0	0	3
74	32	0	1.11203579	-48.7345628	-48.6694904	-48.8006039	-48.1222473	0.678356593	14.8855569	0	0	0	0	3
75	33	0	1.1270633	-48.783839	-48.688949	-48.8006039	-48.1222473	0.678356593	14.8855569	0	0	0	0	3
76	33	0	1.14209081	-48.783839	-48.7084076	-48.8006039	-48.1222473	0.678356593	14.8855569	0	0	0	0	3
77	33	0	1.15711832	-48.783839	-48.7278662	-48.8006039	-48.1222473	0.678356593	14.8855569	0	0	0	0	3
78	34	0	1.17214583	-48.783839	-48.7473248	-48.8006039	-48.1222473	0.678356593	14.8855569	0	0	0	0	3
79	34	0	1.18717334	-48.783839	-48.7667834	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
80	35	0	1.20220085	-48.783839	-48.767616	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
81	35	0	1.21722836	-48.783839	-48.7684486	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
82	35	0	1.23225587	-48.783839	-48.7692812	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
83	36	0	1.24728338	-48.783839	-48.7701138	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
84	36	0	1.2623109	-48.783839	-48.7709464	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
85	36	0	1.27733841	-48.7938457	-48.7720733	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
86	37	0	1.29236592	-48.7938457	-48.7732003	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
87	37	0	1.30739343	-48.7938457	-48.7743272	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
88	38	0	1.32242094	-48.7938457	-48.7754541	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
89	38	0	1.33744845	-48.7938457	-48.7752553	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
90	38	0	1.35247596	-48.7938457	-48.7750566	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
91	39	0	1.36750347	-48.7938457	-48.7748578	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
92	39	0	1.38253098	-48.7938457	-48.774659	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
93	39	0	1.39755849	-48.7938457	-48.7744603	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
94	40	0	1.412586	-48.7938457	-48.7742615	-48.8006039	-48.7345628	0.0660410347	14.8855569	0	0	0	0	3
95	40	0	1.42761351	-48.8385274	-48.7753769	-48.8385274	-48.7345628	0.103964536	14.8855569	0	0	0	0	3
96	41	0	1.44264102	-48.8385274	-48.7764923	-48.8385274	-48.7345628	0.103964536	14.8855569	0	0	0	0	3
97	41	0	1.45766853	-48.8385274	-48.7776077	-48.8385274	-48.7345628	0.103964536	14.8855569	0	0	0	0	3
98	41	0	1.47269604	-48.8385274	-48.7787231	-48.8385274	-48.7345628	0.103964536	14.8855569	0	0	0	0	3
99	42	0	1.48772355	-48.8385274	-48.7817809	-48.8385274	-48.7345628	0.103964536	14.8855569	0	0	0	0	3
100	42	0	1.50275107	-48.8385274	-48.7848387	-48.8385274	-48.7345628	0.103964536	14.8855569	0	0	0	0	3
101	43	0	1.51777858	-48.8385274	-48.7878964	-48.8385274	-48.7345628	0.103964536	14.8855569	0	0	0	0	3
102	43	0	1.53280609	-48.8385274	-48.7909542	-48.8385274	-48.7345628	0.103964536	14.8855569	0	0	0	0	3
103	43	0	1.5478336	-48.8385274	-48.794012	-48.8385274	-48.7345628	0.103964536	14.8855569	0	0	0	0	3
104	44	0	1.56286111	-48.8385274	-48.7970698	-48.8385274	-48.7345628	0.103964536	14.8855569	0	0	0	0	3
105	44	0	1.57788862	-48.8448714	-48.8003141	-48.8448714	-48.7345628	0.110308563	14.8855569	0	0	0	0	3
106	44	0	1.59291613	-48.8448714	-48.8035585	-48.8448714	-48.7345628	0.110308563	14.8855569	0	0	0	0	3
107	45	0	1.60794364	-48.8448714	-48.8068029	-48.8448714	-48.7345628	0.110308563	14.8855569	0	0	0	0	3
108	45	0	1.62297115	-48.8448714	-48.8100473	-48.8448714	-48.783839	0.0610323756	14.8855569	0	0	0	0	3
109	45	0	1.63799866	-48.8448714	-48.8118423	-48.8448714	-48.783839	0.0610323756	14.8855569	0	0	0	0	3
110	46	0	1.65302617	-48.8448714	-48.8136374	-48.8448714	-48.783839	0.0610323756	14.8855569	0	0	0	0	3
111	46	0	1.66805368	-48.8448714	-48.8154325	-48.8448714	-48.783839	0.0610323756	14.8855569	0	0	0	0	3
112	46	0	1.68308119	-48.8448714	-48.8172275	-48.8448714	-48.783839	0.0504441803	14.8855569	0	0	0	0	3
113	47	0	1.6981087	-48.8448714	-48.8190226	-48.8448714	-48.783839	0.051406639	14.8855569	0	0	0	0	3
114	47	0	1.71313621	-48.8448714	-48.8208177	-48.8448714	-48.783839	0.0523690976	14.8855569	0	0	0	0	3
115	48	0	1.72816373	-48.8446723	-48.8226069	-48.8448714	-48.783839	0.0533257018	14.8855569	0	0	0	0	3
116	48	0	1.74319124	-48.8446723	-48.8243961	-48.8448714	-48.783839	0.054282306	14.8855569	0	0	0	0	3
117	48	0	1.75821875	-48.8446723	-48.8261853	-48.8448714	-48.783839	0.0552389102	14.8855569	0	0	0	0	3
118	49	0	1.77324626	-48.8446723	-48.8279745	-48.8448714	-48.7938457	0.0510256555	14.8855569	0	0	0	0	3
119	49	0	1.78827377	-48.8446723	-48.8294694	-48.8448714	-48.7938457	0.0510256555	14.8855569	0	0	0	0	3
120	49	0	1.80330128	-48.8446723	-48.8309643	-48.8448714	-48.7938457	0.0510256555	14.8855569	0	0	0	0	3
121	50	0	1.81832879	-48.8446723	-48.8324592	-48.8448714	-48.7938457	0.0510256555	14.8855569	0	0	0	0	3
122	50	0	1.8333563	-48.8446723	-48.8339541	-48.8448714	-48.7938457	0.0510256555	14.8855569	0	0	0	0	3
123	50	0	1.84838381	-48.8446723	-48.835449	-48.8448714	-48.7938457	0.0510256555	14.8855569	0	0	0	0	3
