Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0150275107	-13.7347199	-13.7347199	-13.7347199	-13.7347199	0	0	0	0	0	0	3
2	3	0	0.0300550213	-62.7766605	-38.2556902	-62.7766605	-13.7347199	24.5209703	0	0	0	0	0	3
3	3	0	0.045082532	-13.7149542	-30.0754449	-62.7766605	-13.7149542	24.5209703	0	0	0	0	0	3
4	3	0	0.0601100426	-13.7127694	-25.984776	-62.7766605	-13.7127694	24.5209703	0	0	0	0	0	3
5	3	0	0.0751375533	-13.713254	-23.5304716	-62.7766605	-13.7127694	24.5209703	0	0	0	0	0	3
6	4	0	0.0901650639	-13.7067243	-21.8931804	-62.7766605	-13.7067243	24.5209703	0	0	0	0	0	3
7	4	0	0.105192575	-13.6231475	-20.7117471	-62.7766605	-13.6231475	24.5209703	0	0	0	0	0	3
8	5	0	0.120220085	-13.4825406	-19.8080963	-62.7766605	-13.4825406	24.5209703	0	0	0	0	0	3
9	5	0	0.135247596	-12.948091	-19.0458735	-62.7766605	-12.948091	24.5209703	0	0	0	0	0	3
10	5	0	0.150275107	-12.3045898	-18.3717451	-62.7766605	-12.3045898	24.5209703	0	0	0	0	0	3
11	6	0	0.165302617	-11.5710351	-17.7534988	-62.7766605	-11.5710351	24.5209703	0	0	0	0	0	3
12	6	0	0.180330128	-10.8161813	-17.175389	-62.7766605	-10.8161813	24.5209703	0	0	0	0	0	3
13	6	0	0.195357639	-10.6390865	-16.6725965	-62.7766605	-10.6390865	24.5209703	0	0	0	0	0	3
14	7	0	0.210385149	-10.2176174	-16.2115265	-62.7766605	-10.2176174	24.5209703	0	0	0	0	0	3
15	7	0	0.22541266	-10.0352509	-15.7997748	-62.7766605	-10.0352509	24.5209703	0	0	0	0	0	3
16	7	0	0.24044017	-9.93890071	-15.4334702	-62.7766605	-9.93890071	24.5209703	0	0	0	0	0	3
17	8	0	0.255467681	-9.82040519	-15.1032899	-62.7766605	-9.82040519	24.5209703	0	0	0	0	0	3
18	8	0	0.270495192	-9.77306246	-14.8071662	-62.7766605	-9.77306246	24.5209703	0	0	0	0	0	3
19	9	0	0.285522702	-9.51681742	-14.5287267	-62.7766605	-9.51681742	24.5209703	0	0	0	0	0	3
20	9	0	0.300550213	-9.38449695	-14.2715153	-62.7766605	-9.38449695	24.5209703	0	0	0	0	0	3
21	10	0	0.315577724	-9.30158718	-14.034852	-62.7766605	-9.30158718	24.5209703	0	0	0	0	0	3
22	10	0	0.330605234	-9.24943086	-13.8173329	-62.7766605	-9.24943086	24.5209703	0	0	0	0	0	3
23	11	0	0.345632745	-9.21594147	-13.6172724	-62.7766605	-9.21594147	24.6384178	0	0	0	0	0	3
24	11	0	0.360660256	-9.19486254	-13.4330053	-62.7766605	-9.19486254	24.8226849	0	0	0	0	0	3
25	11	0	0.375687766	-9.1827973	-13.262997	-62.7766605	-9.1827973	24.9926932	0	0	0	0	0	3
26	12	0	0.390715277	-9.15513776	-13.1050024	-62.7766605	-9.15513776	25.1506878	0	0	0	0	0	3
27	12	0	0.405742788	-9.16794104	-12.9591853	-62.7766605	-9.15513776	25.2965049	0	0	0	0	0	3
28	13	0	0.420770298	-9.18558374	-12.8244138	-62.7766605	-9.15513776	25.4312764	0	0	0	0	0	3
29	13	0	0.435797809	-9.20650733	-12.6996584	-62.7766605	-9.15513776	25.5560317	0	0	0	0	0	3
30	13	0	0.45082532	-9.21988828	-12.5836661	-62.7766605	-9.15513776	25.6720241	0	0	0	0	0	3
31	14	0	0.46585283	-9.22883169	-12.4754456	-62.7766605	-9.15513776	25.7802446	0	0	0	0	0	3
32	14	0	0.480880341	-9.23775913	-12.3742679	-62.7766605	-9.15513776	25.8814223	0	0	0	0	0	3
33	15	0	0.495907852	-9.24668376	-12.2794926	-62.7766605	-9.15513776	25.9761975	0	0	0	0	0	3
34	15	0	0.510935362	-9.2636218	-12.1907906	-62.7766605	-9.15513776	26.0648996	0	0	0	0	0	3
35	16	0	0.525962873	-9.27848705	-12.0597249	-62.7766605	-9.15513776	26.1959653	0	0	0	0	0	3
36	16	0	0.540990384	-9.34960949	-10.488341	-13.7149542	-9.15513776	4.55981644	0	0	0	0	0	3
37	17	0	0.556017894	-9.38498328	-10.3609889	-13.713254	-9.15513776	4.55811619	0	0	0	0	0	3
38	17	0	0.571045405	-9.34362882	-10.2324848	-13.713254	-9.15513776	4.55811619	0	0	0	0	0	3
39	17	0	0.586072916	-9.3066836	-10.1028798	-13.7067243	-9.15513776	4.55158652	0	0	0	0	0	3
40	18	0	0.601100426	-9.29039679	-9.97298782	-13.6231475	-9.15513776	4.46800978	0	0	0	0	0	3
41	18	0	0.616127937	-9.25373469	-9.84447567	-13.4825406	-9.15513776	4.32740284	0	0	0	0	0	3
42	19	0	0.631155448	-9.25666357	-9.72018517	-12.948091	-9.15513776	3.79295324	0	0	0	0	0	3
43	19	0	0.646182958	-9.38042064	-9.61525369	-12.3045898	-9.15513776	3.149452	0	0	0	0	0	3
44	20	0	0.661210469	-9.55125953	-9.53427339	-11.5710351	-9.15513776	2.41589735	0	0	0	0	0	3
45	20	0	0.67623798	-9.71639335	-9.4797251	-10.8161813	-9.15513776	1.66104357	0	0	0	0	0	3
46	20	0	0.69126549	-9.8598315	-9.45159717	-10.6390865	-9.15513776	1.48394872	0	0	0	0	0	3
47	21	0	0.706293001	-10.0070039	-9.4330065	-10.2176174	-9.15513776	1.06247963	0	0	0	0	0	3
48	21	0	0.721320511	-10.1457066	-9.43089148	-10.1457066	-9.15513776	0.990568873	0	0	0	0	0	3
49	22	0	0.736348022	-10.2803634	-9.43810067	-10.2803634	-9.15513776	1.12522559	0	0	0	0	0	3
50	22	0	0.751375533	-10.4051024	-9.45181248	-10.4051024	-9.15513776	1.24996459	0	0	0	0	0	3
51	22	0	0.766403043	-10.5551659	-9.47342309	-10.5551659	-9.15513776	1.40002811	0	0	0	0	0	3
52	23	0	0.781430554	-10.6812219	-9.50013367	-10.6812219	-9.15513776	1.52608417	0	0	0	0	0	3
53	23	0	0.796458065	-10.7723197	-9.5370602	-10.7723197	-9.15513776	1.61718192	0	0	0	0	0	3
54	24	0	0.811485575	-10.7427059	-9.57700753	-10.7723197	-9.15513776	1.61718192	0	0	0	0	0	3
55	24	0	0.826513086	-10.3061856	-9.60655454	-10.7723197	-9.15513776	1.61718192	0	0	0	0	0	3
56	25	0	0.841540597	-10.4962813	-9.64322661	-10.7723197	-9.15513776	1.61718192	0	0	0	0	0	3
57	25	0	0.856568107	-10.4435705	-9.67933335	-10.7723197	-9.15513776	1.61718192	0	0	0	0	0	3
58	25	0	0.871595618	-9.93669742	-9.70115202	-10.7723197	-9.15513776	1.61718192	0	0	0	0	0	3
59	26	0	0.886623129	-9.95061516	-9.7237349	-10.7723197	-9.15513776	1.61718192	0	0	0	0	0	3
60	26	0	0.901650639	-9.72756938	-9.74057112	-10.7723197	-9.16794104	1.60437864	0	0	0	0	0	3
61	27	0	0.91667815	-9.43987871	-9.74856929	-10.7723197	-9.18558374	1.58673594	0	0	0	0	0	3
62	27	0	0.931705661	-9.23038675	-9.74988702	-10.7723197	-9.20650733	1.56581235	0	0	0	0	0	3
63	27	0	0.946733171	-9.23597179	-9.75075362	-10.7723197	-9.21988828	1.5524314	0	0	0	0	0	3
64	28	0	0.961760682	-9.19073339	-9.74989613	-10.7723197	-9.19073339	1.5815863	0	0	0	0	0	3
65	28	0	0.976788193	-9.33657549	-9.75306506	-10.7723197	-9.19073339	1.5815863	0	0	0	0	0	3
66	29	0	0.991815703	-9.40785831	-9.75806798	-10.7723197	-9.19073339	1.5815863	0	0	0	0	0	3
67	29	0	1.00684321	-9.53192889	-9.76645754	-10.7723197	-9.19073339	1.5815863	0.136794493	0	8.6	0	0	3
68	30	0	1.02187072	-9.78094668	-9.78167298	-10.7723197	-9.19073339	1.5815863	0.136794493	0	8.6	0	0	3
69	30	0	1.03689824	-9.45968548	-9.78700235	-10.7723197	-9.19073339	1.05744955	0.136794493	0	12.9	0	0	3
70	31	0	1.05192575	-9.57078105	-9.79350739	-10.7723197	-9.19073339	0.930097467	0.136794493	0	14.7	0	0	3
71	31	0	1.06695326	-9.45381357	-9.79553181	-10.7723197	-9.19073339	0.801593331	0.136794493	0	17	0	0	3
72	31	0	1.08198077	-9.36748818	-9.79623356	-10.7723197	-9.19073339	0.671988321	0.136794493	0	20.3	0	0	3
73	32	0	1.09700828	-9.56430005	-9.80381051	-10.7723197	-9.19073339	0.542096336	0.136794493	0	25.2	0	0	3
74	32	0	1.11203579	-9.44178505	-9.80826311	-10.7723197	-9.19073339	0.413584193	0.136794493	0	33	0	0	3
75	33	0	1.1270633	-9.25014296	-9.80815747	-10.7723197	-9.19073339	0.377371627	0.136794493	0	36.2	0	0	3
76	33	0	1.14209081	-9.69066249	-9.82092214	-10.7723197	-9.19073339	0.390030662	0.136794493	0	35	0	0	3
77	33	0	1.15711832	-9.27100953	-9.81770417	-10.7723197	-9.19073339	0.390030662	0.136794493	0	35	0	0	3
78	34	0	1.17214583	-9.68104381	-9.82152135	-10.7723197	-9.19073339	0.390629873	0.136794493	0	35	0	0	3
79	34	0	1.18717334	-9.35780058	-9.81097451	-10.7723197	-9.19073339	0.390629873	0.136794493	0	35	0	0	3
80	35	0	1.20220085	-9.45705026	-9.799128	-10.7723197	-9.19073339	0.390629873	0.136794493	0	35	0	0	3
81	35	0	1.21722836	-9.5431942	-9.78548654	-10.7723197	-9.19073339	0.390629873	0.136794493	0	35	0	0	3
82	35	0	1.23225587	-9.46568139	-9.7654858	-10.7723197	-9.19073339	0.383420683	0.136794493	0	35.6	0	0	3
83	36	0	1.24728338	-9.39464041	-9.73943512	-10.7723197	-9.19073339	0.36970887	0.136794493	0	37	0	0	3
84	36	0	1.2623109	-9.57474396	-9.71501282	-10.7723197	-9.19073339	0.348098261	0.136794493	0	39.2	0	0	3
85	36	0	1.27733841	-9.30903084	-9.67836179	-10.7723197	-9.19073339	0.321387689	0.136794493	0	42.5	0	0	3
86	37	0	1.29236592	-9.53731525	-9.64471747	-10.7723197	-9.19073339	0.284461151	0.136794493	0	48	0	0	3
87	37	0	1.30739343	-9.54853282	-9.60872374	-10.7427059	-9.19073339	0.244513828	0.136794493	0	55.9	0	0	3
88	38	0	1.32242094	-9.41249995	-9.56960003	-10.4962813	-9.19073339	0.251921319	0.136794493	0	54.3	0	0	3
89	38	0	1.33744845	-9.55985714	-9.5476492	-10.4962813	-9.19073339	0.273872156	0.136794493	0	49.9	0	0	3
90	38	0	1.35247596	-9.3432347	-9.51373606	-10.4435705	-9.19073339	0.30778529	0.136794493	0	44.4	0	0	3
91	39	0	1.36750347	-9.54678901	-9.48736014	-9.95061516	-9.19073339	0.334161218	0.136794493	0	40.9	0	0	3
92	39	0	1.38253098	-9.46406687	-9.47345924	-9.95061516	-9.19073339	0.348062116	0.136794493	0	39.3	0	0	3
93	39	0	1.39755849	-9.38124297	-9.456713	-9.78094668	-9.19073339	0.364808357	0.136794493	0	37.4	0	0	3
94	40	0	1.412586	-9.61284877	-9.45333886	-9.78094668	-9.19073339	0.368182493	0.136794493	0	37.1	0	0	3
