Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0150275107	-626.184531	-626.184531	-626.184531	-626.184531	0	0	0	0	0	0	3
2	3	0	0.0300550213	-579.154889	-602.66971	-626.184531	-579.154889	23.514821	0	0	0	0	0	3
3	3	0	0.045082532	-377.910748	-527.750056	-626.184531	-377.910748	98.4344748	0	0	0	0	0	3
4	3	0	0.0601100426	-293.925995	-469.294041	-626.184531	-293.925995	156.89049	0	0	0	0	0	3
5	3	0	0.0751375533	-230.784073	-421.592047	-626.184531	-230.784073	204.592484	0	0	0	0	0	3
6	4	0	0.0901650639	-183.035449	-381.832614	-626.184531	-183.035449	244.351917	0	0	0	0	0	3
7	4	0	0.105192575	-144.965732	-347.994488	-626.184531	-144.965732	278.190043	0	0	0	0	0	3
8	5	0	0.120220085	-107.663826	-317.953155	-626.184531	-107.663826	308.231375	0	0	0	0	0	3
9	5	0	0.135247596	-49.1503502	-288.086177	-626.184531	-49.1503502	338.098354	0	0	0	0	0	3
10	5	0	0.150275107	-32.453345	-262.522894	-626.184531	-32.453345	363.661637	0	0	0	0	0	3
11	6	0	0.165302617	-30.2235804	-241.404774	-626.184531	-30.2235804	384.779756	0	0	0	0	0	3
12	6	0	0.180330128	-28.4369762	-223.657458	-626.184531	-28.4369762	402.527073	0	0	0	0	0	3
13	6	0	0.195357639	-26.7013511	-208.506988	-626.184531	-26.7013511	417.677543	0	0	0	0	0	3
14	7	0	0.210385149	-25.6377915	-195.444903	-626.184531	-25.6377915	430.739628	0	0	0	0	0	3
15	7	0	0.22541266	-25.1594439	-184.092539	-626.184531	-25.1594439	442.091992	0	0	0	0	0	3
16	7	0	0.24044017	-24.3143213	-174.1064	-626.184531	-24.3143213	452.078131	0	0	0	0	0	3
17	8	0	0.255467681	-23.7969956	-165.26467	-626.184531	-23.7969956	460.91986	0	0	0	0	0	3
18	8	0	0.270495192	-23.4223131	-157.38454	-626.184531	-23.4223131	468.799991	0	0	0	0	0	3
19	9	0	0.285522702	-22.7105339	-150.296434	-626.184531	-22.7105339	475.888097	0	0	0	0	0	3
20	9	0	0.300550213	-22.6386391	-143.913544	-626.184531	-22.6386391	482.270987	0	0	0	0	0	3
21	10	0	0.315577724	-22.1432023	-138.114957	-626.184531	-22.1432023	488.069574	0	0	0	0	0	3
22	10	0	0.330605234	-21.7462011	-132.825468	-626.184531	-21.7462011	493.359063	0	0	0	0	0	3
23	11	0	0.345632745	-21.4065296	-127.981166	-626.184531	-21.4065296	498.203365	0	0	0	0	0	3
24	11	0	0.360660256	-21.2469886	-123.533909	-626.184531	-21.2469886	502.650622	0	0	0	0	0	3
25	11	0	0.375687766	-21.2565386	-119.442814	-626.184531	-21.2469886	506.741717	0	0	0	0	0	3
26	12	0	0.390715277	-20.8346669	-115.650193	-626.184531	-20.8346669	510.534338	0	0	0	0	0	3
27	12	0	0.405742788	-20.4929582	-112.125851	-626.184531	-20.4929582	514.05868	0	0	0	0	0	3
28	13	0	0.420770298	-20.2266275	-108.843736	-626.184531	-20.2266275	517.340795	0	0	0	0	0	3
29	13	0	0.435797809	-19.9466395	-105.778319	-626.184531	-19.9466395	520.406212	0	0	0	0	0	3
30	13	0	0.45082532	-19.6583557	-102.907653	-626.184531	-19.6583557	523.276878	0	0	0	0	0	3
31	14	0	0.46585283	-19.1371235	-100.205378	-626.184531	-19.1371235	525.979153	0	0	0	0	0	3
32	14	0	0.480880341	-18.6963758	-97.6582216	-626.184531	-18.6963758	528.526309	0	0	0	0	0	3
33	15	0	0.495907852	-18.2945612	-95.2532622	-626.184531	-18.2945612	530.931269	0	0	0	0	0	3
34	15	0	0.510935362	-17.9518978	-92.9796927	-626.184531	-17.9518978	533.204838	0	0	0	0	0	3
35	16	0	0.525962873	-17.6973968	-75.0830123	-579.154889	-17.6973968	527.586698	0	0	0	0	0	3
36	16	0	0.540990384	-17.4278294	-58.5616282	-377.910748	-17.4278294	360.482919	0	0	0	0	0	3
37	17	0	0.556017894	-17.2276489	-47.9533017	-293.925995	-17.2276489	276.698346	0	0	0	0	0	3
38	17	0	0.571045405	-16.8735198	-39.8046995	-230.784073	-16.8735198	213.910553	0	0	0	0	0	3
39	17	0	0.586072916	-16.6246131	-33.5058918	-183.035449	-16.6246131	166.410836	0	0	0	0	0	3
40	18	0	0.601100426	-16.4163796	-28.605331	-144.965732	-16.4163796	128.549353	0	0	0	0	0	3
41	18	0	0.616127937	-16.2537141	-24.8196834	-107.663826	-16.2537141	91.4101117	0	0	0	0	0	3
42	19	0	0.631155448	-16.2255425	-22.1303221	-49.1503502	-16.2255425	32.9248077	0	0	0	0	0	3
43	19	0	0.646182958	-16.4516851	-21.1685967	-32.453345	-16.2255425	16.2278025	0	0	0	0	0	3
44	20	0	0.661210469	-16.7886906	-20.7078715	-30.2235804	-16.2255425	13.9980379	0	0	0	0	0	3
45	20	0	0.67623798	-17.1160088	-20.3223547	-28.4369762	-16.2255425	12.2114338	0	0	0	0	0	3
46	20	0	0.69126549	-17.4249435	-19.9984714	-26.7013511	-16.2255425	10.4758086	0	0	0	0	0	3
47	21	0	0.706293001	-17.7174053	-19.7342377	-25.6377915	-16.2255425	9.41224904	0	0	0	0	0	3
48	21	0	0.721320511	-17.9736478	-19.5088217	-25.1594439	-16.2255425	8.93390142	0	0	0	0	0	3
49	22	0	0.736348022	-18.2311604	-19.3050487	-24.3143213	-16.2255425	8.08877881	0	0	0	0	0	3
50	22	0	0.751375533	-18.4638371	-19.1329756	-23.7969956	-16.2255425	7.57145312	0	0	0	0	0	3
51	22	0	0.766403043	-18.749969	-18.9845337	-23.4223131	-16.2255425	7.19677062	0	0	0	0	0	3
52	23	0	0.781430554	-18.983983	-18.8539945	-22.7105339	-16.2255425	6.48499147	0	0	0	0	0	3
53	23	0	0.796458065	-19.1526182	-18.74935	-22.6386391	-16.2255425	6.4130966	0	0	0	0	0	3
54	24	0	0.811485575	-19.0813051	-18.6447225	-22.1432023	-16.2255425	5.91765979	0	0	0	0	0	3
55	24	0	0.826513086	-18.1802591	-18.5281653	-21.7462011	-16.2255425	5.52065862	0	0	0	0	0	3
56	25	0	0.841540597	-18.542519	-18.4339394	-21.4065296	-16.2255425	5.18098709	0	0	0	0	0	3
57	25	0	0.856568107	-18.4567682	-18.3471817	-21.2565386	-16.2255425	5.0309961	0	0	0	0	0	3
58	25	0	0.871595618	-17.4870447	-18.2365951	-21.2565386	-16.2255425	5.0309961	0	0	0	0	0	3
59	26	0	0.886623129	-17.5169511	-18.1266072	-20.8346669	-16.2255425	4.60912442	0	0	0	0	0	3
60	26	0	0.901650639	-17.0929775	-18.0165576	-20.4929582	-16.2255425	4.26741575	0	0	0	0	0	3
61	27	0	0.91667815	-16.5607152	-17.9009033	-20.2266275	-16.2255425	4.00108504	0	0	0	0	0	3
62	27	0	0.931705661	-16.1656056	-17.7814615	-19.9466395	-16.1656056	3.78103393	0	0	0	0	0	3
63	27	0	0.946733171	-16.1922878	-17.6710394	-19.6583557	-16.1656056	3.49275017	0	0	0	0	0	3
64	28	0	0.961760682	-16.1030597	-17.5664719	-19.1526182	-16.1030597	3.04955851	0	0	0	0	0	3
65	28	0	0.976788193	-16.4194294	-17.4865397	-19.1526182	-16.1030597	3.04955851	0	0	0	0	0	3
66	29	0	0.991815703	-16.5511851	-17.4234459	-19.1526182	-16.1030597	3.04955851	0	0	0	0	0	3
67	29	0	1.00684321	-16.7805311	-17.3789156	-19.1526182	-16.1030597	3.04955851	10.8542307	0	0	0	0	3
68	30	0	1.02187072	-17.2424396	-17.3580491	-19.1526182	-16.1030597	3.04955851	10.8542307	0	0	0	0	3
