Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0150275107	0.980034969	0.980034969	0.980034969	0.980034969	0	0	0	0	0	0	3
2	3	0	0.0300550213	0.980034969	0.980034969	0.980034969	0.980034969	1.11022302e-16	0	0	0	0	0	3
3	3	0	0.045082532	0.980034969	0.980034969	0.980034969	0.980034969	1.11022302e-16	0	0	0	0	0	3
4	3	0	0.0601100426	0.980034969	0.980034969	0.980034969	0.980034969	1.11022302e-16	0	0	0	0	0	3
5	3	0	0.0751375533	0.980034969	0.980034969	0.980034969	0.980034969	1.11022302e-16	0	0	0	0	0	3
6	4	0	0.0901650639	0.980034969	0.980034969	0.980034969	0.980034969	1.11022302e-16	0	0	0	0	0	3
7	4	0	0.105192575	0.980034969	0.980034969	0.980034969	0.980034969	1.11022302e-16	0	0	0	0	0	3
8	5	0	0.120220085	0.980034969	0.980034969	0.980034969	0.980034969	1.11022302e-16	0	0	0	0	0	3
9	5	0	0.135247596	0.980034969	0.980034969	0.980034969	0.980034969	1.11022302e-16	0	0	0	0	0	3
10	5	0	0.150275107	0.980034969	0.980034969	0.980034969	0.980034969	1.11022302e-16	0	0	0	0	0	3
11	6	0	0.165302617	0.980034969	0.980034969	0.980034969	0.980034969	2.22044605e-16	0	0	0	0	0	3
12	6	0	0.180330128	0.980034969	0.980034969	0.980034969	0.980034969	2.22044605e-16	0	0	0	0	0	3
13	6	0	0.195357639	0.980034969	0.980034969	0.980034969	0.980034969	2.22044605e-16	0	0	0	0	0	3
14	7	0	0.210385149	0.980034969	0.980034969	0.980034969	0.980034969	3.33066907e-16	0	0	0	0	0	3
15	7	0	0.22541266	0.980034969	0.980034969	0.980034969	0.980034969	3.33066907e-16	0	0	0	0	0	3
16	7	0	0.24044017	0.980034969	0.980034969	0.980034969	0.980034969	3.33066907e-16	0	0	0	0	0	3
17	8	0	0.255467681	0.980034969	0.980034969	0.980034969	0.980034969	3.33066907e-16	0	0	0	0	0	3
18	8	0	0.270495192	0.980034969	0.980034969	0.980034969	0.980034969	3.33066907e-16	0	0	0	0	0	3
19	9	0	0.285522702	0.980034969	0.980034969	0.980034969	0.980034969	3.33066907e-16	0	0	0	0	0	3
20	9	0	0.300550213	0.980034969	0.980034969	0.980034969	0.980034969	3.33066907e-16	0	0	0	0	0	3
21	10	0	0.315577724	0.980034969	0.980034969	0.980034969	0.980034969	3.33066907e-16	0	0	0	0	0	3
22	10	0	0.330605234	0.980034969	0.980034969	0.980034969	0.980034969	3.33066907e-16	0	0	0	0	0	3
23	11	0	0.345632745	0.980034969	0.980034969	0.980034969	0.980034969	3.33066907e-16	0	0	0	0	0	3
24	11	0	0.360660256	0.980034969	0.980034969	0.980034969	0.980034969	3.33066907e-16	0	0	0	0	0	3
25	11	0	0.375687766	0.980034969	0.980034969	0.980034969	0.980034969	3.33066907e-16	0	0	0	0	0	3
26	12	0	0.390715277	0.980034969	0.980034969	0.980034969	0.980034969	4.4408921e-16	0	0	0	0	0	3
