Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0150275107	101313.277	101313.277	101313.277	101313.277	0	0	0	0	0	0	3
2	3	0	0.0300550213	101313.277	101313.277	101313.277	101313.277	3.22514097e-07	0	0	0	0	0	3
3	3	0	0.045082532	101313.277	101313.277	101313.277	101313.277	4.67058271e-07	0	0	0	0	0	3
4	3	0	0.0601100426	101313.277	101313.277	101313.277	101313.277	5.43717761e-07	0	0	0	0	0	3
5	3	0	0.0751375533	101313.277	101313.277	101313.277	101313.277	5.88450348e-07	0	0	0	0	0	3
6	4	0	0.0901650639	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
7	4	0	0.105192575	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
8	5	0	0.120220085	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
9	5	0	0.135247596	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
10	5	0	0.150275107	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
11	6	0	0.165302617	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
12	6	0	0.180330128	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
13	6	0	0.195357639	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
14	7	0	0.210385149	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
15	7	0	0.22541266	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
16	7	0	0.24044017	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
17	8	0	0.255467681	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
18	8	0	0.270495192	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
19	9	0	0.285522702	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
20	9	0	0.300550213	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
21	10	0	0.315577724	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
22	10	0	0.330605234	101313.277	101313.277	101313.277	101313.277	6.16419129e-07	0	0	0	0	0	3
23	11	0	0.345632745	101313.277	101313.277	101313.277	101313.277	6.2485924e-07	0	0	0	0	0	3
24	11	0	0.360660256	101313.277	101313.277	101313.277	101313.277	6.2485924e-07	0	0	0	0	0	3
25	11	0	0.375687766	101313.277	101313.277	101313.277	101313.277	6.2485924e-07	0	0	0	0	0	3
26	12	0	0.390715277	101313.277	101313.277	101313.277	101313.277	8.36662366e-07	0	0	0	0	0	3
27	12	0	0.405742788	101313.277	101313.277	101313.277	101313.277	8.66100891e-07	0	0	0	0	0	3
28	13	0	0.420770298	101313.277	101313.277	101313.277	101313.277	8.97620339e-07	0	0	0	0	0	3
29	13	0	0.435797809	101313.277	101313.277	101313.277	101313.277	8.97620339e-07	0	0	0	0	0	3
30	13	0	0.45082532	101313.277	101313.277	101313.277	101313.277	8.97620339e-07	0	0	0	0	0	3
31	14	0	0.46585283	101313.277	101313.277	101313.277	101313.277	8.97620339e-07	0	0	0	0	0	3
32	14	0	0.480880341	101313.277	101313.277	101313.277	101313.277	1.06576772e-06	0	0	0	0	0	3
33	15	0	0.495907852	101313.277	101313.277	101313.277	101313.277	1.37668394e-06	0	0	0	0	0	3
34	15	0	0.510935362	101313.277	101313.277	101313.277	101313.277	1.37668394e-06	0	0	0	0	0	3
35	16	0	0.525962873	101313.277	101313.277	101313.277	101313.277	1.55002635e-06	0	0	0	0	0	3
36	16	0	0.540990384	101313.277	101313.277	101313.277	101313.277	3.66808672e-06	0	0	0	0	0	3
37	17	0	0.556017894	101313.277	101313.277	101313.277	101313.277	6.36730692e-06	0	0	0	0	0	3
38	17	0	0.571045405	101313.277	101313.277	101313.277	101313.277	9.15113196e-06	0	0	0	0	0	3
39	17	0	0.586072916	101313.277	101313.277	101313.277	101313.277	1.15536095e-05	0	0	0	0	0	3
40	18	0	0.601100426	101313.277	101313.277	101313.277	101313.277	1.35820592e-05	0	0	0	0	0	3
41	18	0	0.616127937	101313.277	101313.277	101313.277	101313.277	1.52302382e-05	0	0	0	0	0	3
42	19	0	0.631155448	101313.277	101313.277	101313.277	101313.277	1.66292739e-05	0	0	0	0	0	3
43	19	0	0.646182958	101313.277	101313.277	101313.277	101313.277	1.7967177e-05	0	0	0	0	0	3
44	20	0	0.661210469	101313.277	101313.277	101313.277	101313.277	1.9312618e-05	0	0	0	0	0	3
45	20	0	0.67623798	101313.277	101313.277	101313.277	101313.277	2.06251862e-05	0	0	0	0	0	3
46	20	0	0.69126549	101313.277	101313.277	101313.277	101313.277	2.18664063e-05	0	0	0	0	0	3
47	21	0	0.706293001	101313.277	101313.277	101313.277	101313.277	2.30275327e-05	0	0	0	0	0	3
48	21	0	0.721320511	101313.277	101313.277	101313.277	101313.277	2.41633534e-05	0	0	0	0	0	3
49	22	0	0.736348022	101313.277	101313.277	101313.277	101313.277	2.53036997e-05	0	0	0	0	0	3
50	22	0	0.751375533	101313.277	101313.277	101313.277	101313.277	2.6460606e-05	0	0	0	0	0	3
51	22	0	0.766403043	101313.277	101313.277	101313.277	101313.277	2.7601578e-05	0	0	0	0	0	3
52	23	0	0.781430554	101313.277	101313.277	101313.277	101313.277	2.87124276e-05	0	0	0	0	0	3
53	23	0	0.796458065	101313.277	101313.277	101313.277	101313.277	2.98343948e-05	0	0	0	0	0	3
54	24	0	0.811485575	101313.277	101313.277	101313.277	101313.277	3.09702009e-05	0	0	0	0	0	3
55	24	0	0.826513086	101313.277	101313.277	101313.277	101313.277	3.21175612e-05	0	0	0	0	0	3
56	25	0	0.841540597	101313.277	101313.277	101313.277	101313.277	3.32490308e-05	0	0	0	0	0	3
57	25	0	0.856568107	101313.277	101313.277	101313.277	101313.277	3.43922147e-05	0	0	0	0	0	3
58	25	0	0.871595618	101313.277	101313.277	101313.277	101313.277	3.53504583e-05	0	0	0	0	0	3
59	26	0	0.886623129	101313.277	101313.277	101313.277	101313.277	3.62669816e-05	0	0	0	0	0	3
60	26	0	0.901650639	101313.277	101313.277	101313.277	101313.277	3.72055219e-05	0	0	0	0	0	3
61	27	0	0.91667815	101313.277	101313.277	101313.277	101313.277	3.83020961e-05	0	0	0	0	0	3
62	27	0	0.931705661	101313.277	101313.277	101313.277	101313.277	3.93998635e-05	0	0	0	0	0	3
63	27	0	0.946733171	101313.277	101313.277	101313.277	101313.277	4.05773171e-05	0	0	0	0	0	3
64	28	0	0.961760682	101313.277	101313.277	101313.277	101313.277	4.19108837e-05	0	0	0	0	0	3
65	28	0	0.976788193	101313.277	101313.277	101313.277	101313.277	4.32828674e-05	0	0	0	0	0	3
66	29	0	0.991815703	101313.277	101313.277	101313.277	101313.277	4.49008221e-05	0	0	0	0	0	3
67	29	0	1.00684321	101313.277	101313.277	101313.277	101313.277	4.59155272e-05	0.00101313277	0	0	0	0	3
68	30	0	1.02187072	101313.277	101313.277	101313.277	101313.277	4.5528257e-05	0.00101313277	0	0	0	0	3
69	30	0	1.03689824	101313.277	101313.277	101313.277	101313.277	4.34164394e-05	0.00101313277	0	0	0	0	3
70	31	0	1.05192575	101313.277	101313.277	101313.277	101313.277	4.07172192e-05	0.00101313277	0	0	0	0	3
71	31	0	1.06695326	101313.277	101313.277	101313.277	101313.277	3.79333942e-05	0.00101313277	0	0	0	0	3
72	31	0	1.08198077	101313.277	101313.277	101313.277	101313.277	3.55309166e-05	0.00101313277	0	0	0	0	3
73	32	0	1.09700828	101313.277	101313.277	101313.277	101313.277	3.09319148e-05	0.00101313277	0	0	0	0	3
74	32	0	1.11203579	101313.277	101313.277	101313.277	101313.277	1.83039519e-05	0.00101313277	0	0	0	0	3
75	33	0	1.1270633	101313.277	101313.277	101313.277	101313.277	9.98257019e-06	0.00101313277	0	0	0	0	3
76	33	0	1.14209081	101313.277	101313.277	101313.277	101313.277	7.90758349e-06	0.00101313277	0	0	0	0	3
77	33	0	1.15711832	101313.277	101313.277	101313.277	101313.277	7.90758349e-06	0.00101313277	0	0	0	0	3
78	34	0	1.17214583	101313.277	101313.277	101313.277	101313.277	6.84063707e-06	0.00101313277	0	0	0	0	3
79	34	0	1.18717334	101313.277	101313.277	101313.277	101313.277	3.99042619e-06	0.00101313277	0	0	0	0	3
80	35	0	1.20220085	101313.277	101313.277	101313.277	101313.277	1.87156547e-06	0.00101313277	0	0	0	0	3
81	35	0	1.21722836	101313.277	101313.277	101313.277	101313.277	1.87156547e-06	0.00101313277	0	0	0	0	3
82	35	0	1.23225587	101313.277	101313.277	101313.277	101313.277	1.87156547e-06	0.00101313277	0	0	0	0	3
83	36	0	1.24728338	101313.277	101313.277	101313.277	101313.277	1.87156547e-06	0.00101313277	0	0	0	0	3
84	36	0	1.2623109	101313.277	101313.277	101313.277	101313.277	1.87156547e-06	0.00101313277	0	0	0	0	3
