Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0150275107	302.149988	302.149988	302.149988	302.149988	0	0	0	0	0	0	3
2	3	0	0.0300550213	302.149882	302.149935	302.149882	302.149988	5.30330325e-05	0	0	0	0	0	3
3	3	0	0.045082532	302.149867	302.149912	302.149867	302.149988	7.57847546e-05	0	0	0	0	0	3
4	3	0	0.0601100426	302.14984	302.149894	302.14984	302.149988	9.39166862e-05	0	0	0	0	0	3
5	3	0	0.0751375533	302.149832	302.149882	302.149832	302.149988	0.000106373325	0	0	0	0	0	3
6	4	0	0.0901650639	302.149702	302.149852	302.149702	302.149988	0.000136357991	0	0	0	0	0	3
7	4	0	0.105192575	302.1495	302.149801	302.1495	302.149988	0.000186546673	0	0	0	0	0	3
8	5	0	0.120220085	302.148886	302.149687	302.148886	302.149988	0.000301027266	0	0	0	0	0	3
9	5	0	0.135247596	302.148382	302.149542	302.148382	302.149988	0.0004460558	0	0	0	0	0	3
10	5	0	0.150275107	302.147863	302.149374	302.147863	302.149988	0.000613891794	0	0	0	0	0	3
11	6	0	0.165302617	302.147113	302.149168	302.147113	302.149988	0.000819452606	0	0	0	0	0	3
12	6	0	0.180330128	302.146371	302.148935	302.146371	302.149988	0.00105255601	0	0	0	0	0	3
13	6	0	0.195357639	302.145653	302.148683	302.145653	302.149988	0.00130502601	0	0	0	0	0	3
14	7	0	0.210385149	302.144921	302.148414	302.144921	302.149988	0.00157371277	0	0	0	0	0	3
15	7	0	0.22541266	302.144183	302.148132	302.144183	302.149988	0.00185576803	0	0	0	0	0	3
16	7	0	0.24044017	302.143069	302.147816	302.143069	302.149988	0.0021722088	0	0	0	0	0	3
17	8	0	0.255467681	302.141985	302.147473	302.141985	302.149988	0.00251516254	0	0	0	0	0	3
18	8	0	0.270495192	302.140941	302.14711	302.140941	302.149988	0.00287801979	0	0	0	0	0	3
19	9	0	0.285522702	302.139948	302.146733	302.139948	302.149988	0.003254958	0	0	0	0	0	3
20	9	0	0.300550213	302.139009	302.146347	302.139009	302.149988	0.0036411599	0	0	0	0	0	3
21	10	0	0.315577724	302.137673	302.145934	302.137673	302.149988	0.00405418999	0	0	0	0	0	3
22	10	0	0.330605234	302.136446	302.145502	302.136446	302.149988	0.0044854523	0	0	0	0	0	3
23	11	0	0.345632745	302.135298	302.145059	302.135298	302.149988	0.00492914346	0	0	0	0	0	3
24	11	0	0.360660256	302.13413	302.144603	302.13413	302.149988	0.00538449323	0	0	0	0	0	3
25	11	0	0.375687766	302.132949	302.144137	302.132949	302.149988	0.00585068918	0	0	0	0	0	3
26	12	0	0.390715277	302.131012	302.143632	302.131012	302.149988	0.00635550598	0	0	0	0	0	3
