Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0150275107	294.556031	294.556031	294.556031	294.556031	0	0	0	0	0	0	3
2	3	0	0.0300550213	295.632897	295.094464	294.556031	295.632897	0.538432947	0	0	0	0	0	3
3	3	0	0.045082532	297.910626	296.033185	294.556031	297.910626	1.47715368	0	0	0	0	0	3
4	3	0	0.0601100426	298.585811	296.671341	294.556031	298.585811	2.11531022	0	0	0	0	0	3
5	3	0	0.0751375533	298.737184	297.08451	294.556031	298.737184	2.52847888	0	0	0	0	0	3
6	4	0	0.0901650639	298.847701	297.378375	294.556031	298.847701	2.82234409	0	0	0	0	0	3
7	4	0	0.105192575	299.140822	297.630153	294.556031	299.140822	3.07412225	0	0	0	0	0	3
8	5	0	0.120220085	299.234143	297.830652	294.556031	299.234143	3.27462096	0	0	0	0	0	3
9	5	0	0.135247596	299.35166	297.999653	294.556031	299.35166	3.44362185	0	0	0	0	0	3
10	5	0	0.150275107	299.52543	298.152231	294.556031	299.52543	3.59619961	0	0	0	0	0	3
11	6	0	0.165302617	299.526114	298.277129	294.556031	299.526114	3.72109813	0	0	0	0	0	3
12	6	0	0.180330128	299.524644	298.381089	294.556031	299.526114	3.82505767	0	0	0	0	0	3
13	6	0	0.195357639	299.558771	298.47168	294.556031	299.558771	3.91564864	0	0	0	0	0	3
14	7	0	0.210385149	299.558466	298.549307	294.556031	299.558771	3.99327626	0	0	0	0	0	3
15	7	0	0.22541266	299.560018	298.616688	294.556031	299.560018	4.06065696	0	0	0	0	0	3
16	7	0	0.24044017	299.562306	298.675789	294.556031	299.562306	4.1197581	0	0	0	0	0	3
17	8	0	0.255467681	299.560518	298.727832	294.556031	299.562306	4.17180099	0	0	0	0	0	3
18	8	0	0.270495192	299.559002	298.774008	294.556031	299.562306	4.2179771	0	0	0	0	0	3
19	9	0	0.285522702	299.558008	298.815271	294.556031	299.562306	4.25924024	0	0	0	0	0	3
20	9	0	0.300550213	299.564236	298.852719	294.556031	299.564236	4.29668848	0	0	0	0	0	3
21	10	0	0.315577724	299.562771	298.886531	294.556031	299.564236	4.33050047	0	0	0	0	0	3
