Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0150275107
2	3	0	0.0300550213
3	3	0	0.045082532
4	3	0	0.0601100426
5	3	0	0.0751375533
6	4	0	0.0901650639
7	4	0	0.105192575
8	5	0	0.120220085
9	5	0	0.135247596
10	5	0	0.150275107
11	6	0	0.165302617
12	6	0	0.180330128
13	6	0	0.195357639
14	7	0	0.210385149
15	7	0	0.22541266
16	7	0	0.24044017
17	8	0	0.255467681
18	8	0	0.270495192
19	9	0	0.285522702
20	9	0	0.300550213
21	10	0	0.315577724
22	10	0	0.330605234
23	11	0	0.345632745
24	11	0	0.360660256
25	11	0	0.375687766
26	12	0	0.390715277
27	12	0	0.405742788
28	13	0	0.420770298
29	13	0	0.435797809
30	13	0	0.45082532
31	14	0	0.46585283
32	14	0	0.480880341
33	15	0	0.495907852
34	15	0	0.510935362
35	16	0	0.525962873
36	16	0	0.540990384
37	17	0	0.556017894
38	17	0	0.571045405
39	17	0	0.586072916
40	18	0	0.601100426
41	18	0	0.616127937
42	19	0	0.631155448
43	19	0	0.646182958
44	20	0	0.661210469
45	20	0	0.67623798
46	20	0	0.69126549
47	21	0	0.706293001
48	21	0	0.721320511
49	22	0	0.736348022
50	22	0	0.751375533
51	22	0	0.766403043
52	23	0	0.781430554
53	23	0	0.796458065
54	24	0	0.811485575
55	24	0	0.826513086
56	25	0	0.841540597
57	25	0	0.856568107
58	25	0	0.871595618
59	26	0	0.886623129
60	26	0	0.901650639
61	27	0	0.91667815
62	27	0	0.931705661
63	27	0	0.946733171
64	28	0	0.961760682
65	28	0	0.976788193
66	29	0	0.991815703
67	29	0	1.00684321
68	30	0	1.02187072
69	30	0	1.03689824
70	31	0	1.05192575
71	31	0	1.06695326
72	31	0	1.08198077
73	32	0	1.09700828
74	32	0	1.11203579
75	33	0	1.1270633
76	33	0	1.14209081
77	33	0	1.15711832
78	34	0	1.17214583
79	34	0	1.18717334
80	35	0	1.20220085
81	35	0	1.21722836
82	35	0	1.23225587
83	36	0	1.24728338
84	36	0	1.2623109
85	36	0	1.27733841
86	37	0	1.29236592
87	37	0	1.30739343
88	38	0	1.32242094
89	38	0	1.33744845
90	38	0	1.35247596
91	39	0	1.36750347
92	39	0	1.38253098
93	39	0	1.39755849
94	40	0	1.412586
95	40	0	1.42761351
96	41	0	1.44264102
97	41	0	1.45766853
98	41	0	1.47269604
99	42	0	1.48772355
100	42	0	1.50275107
101	43	0	1.51777858
102	43	0	1.53280609
103	43	0	1.5478336
104	44	0	1.56286111
105	44	0	1.57788862
106	44	0	1.59291613
107	45	0	1.60794364
108	45	0	1.62297115
109	45	0	1.63799866
110	46	0	1.65302617
111	46	0	1.66805368
112	46	0	1.68308119
113	47	0	1.6981087
114	47	0	1.71313621
115	48	0	1.72816373
116	48	0	1.74319124
117	48	0	1.75821875
118	49	0	1.77324626
119	49	0	1.78827377
120	49	0	1.80330128
121	50	0	1.81832879
122	50	0	1.8333563
123	50	0	1.84838381
